id,name,fuel_type
1000,2.0 TDI (150) Clean Diesel S-Tronic,D
1001,1.4 TFSI (140),P
1002,1.4 TFSI (140) S-Tronic,P
1003,1.6,P
1004,2.0 TDI S-Tronic DPF,D
1005,2.0 T,P
1006,2.0 T S-Tronic,P
1007,3.2 Quattro S-line S-Tronic,P
1008,1.4 TFSI G-Tron,P
1009,1.4 TFSI G-Tron S-Tronic,P
1010,1.4 TSI Hybrid E-Tron,P
1011,1.4 TFSI G-Tron S-Tronic,C
1012,2.5 TDI Quattro,D
1013,2.5 TDI Quattro Tiptronic,D
1014,2.5 TDI Tiptronic,D
1015,1.9 TDI Automatic,D
1016,1.8 T (180),P
1017,1.8 T (180) Quattro,P
1018,1.9 TDI (115),D
1019,1.9 TDI (115) Tiptronic,D
1020,2.5 TDI,D
1021,2.4 30v,P
1022,2.4 30v Quattro,P
1023,2.4 30v Quattro Tiptronic,P
1024,2.4 30v Tiptronic,P
1025,2.8 30v,P
1026,2.8 30v Quattro Tiptronic,P
1027,2.8 30v Tiptronic,P
1028,2.8 Quattro,P
1029,2.8 Quattro Tiptronic,P
1030,2.8 Tiptronic,P
1031,1.8 T,P
1032,1.8 20v Quattro,P
1033,1.8 T Quattro,P
1034,1.8 T Tiptronic,P
1035,1.9 TDI Quattro,D
1036,1.8 T Quattro Tiptronic,P
1037,2.5 TDI (180) Quattro,D
1038,2.5 TDI (180) Quattro Tiptronic,D
1039,2.0 Multitronic,P
1040,3.0 TDI Quattro,D
1041,3.0 TDI Quattro DPF,D
1042,3.0 TDI Quattro Tiptronic,D
1043,3.0 TDI Quattro Tiptronic DPF,D
1044,3.0,P
1045,3.0 Multitronic,P
1046,3.0 Quattro,P
1047,3.0 Quattro Tiptronic,P
1048,3.2 FSI Multitronic,P
1049,3.2 FSI Quattro,P
1050,3.2 FSI Quattro Tiptronic,P
1051,3.2 Multitronic,P
1052,3.2 Quattro Tiptronic,P
1053,1.9 TDI (100),D
1054,1.9 TDI 6-speed,D
1055,1.9 TDI Multitronic,D
1056,1.8 T Multitronic,P
1057,2.5 TDI Multitronic,D
1058,2.4,P
1059,2.4 Multitronic,P
1060,1.8 T (190),P
1061,1.8 T (190) Quattro,P
1062,2.0 TFSI Multitronic,P
1063,2.0 TFSI Quattro Tiptronic,P
1064,2.0 TDI Multitronic,D
1065,2.0 T Multitronic,P
1066,2.0 T Quattro,P
1067,2.0 T Quattro Tiptronic,P
1068,2.0 TFSI E,P
1069,2.7 TDI,D
1070,2.7 TDI DPF,D
1071,2.7 TDI Multitronic,D
1072,2.7 TDI Multitronic DPF,D
1073,2.0 TDI Multitronic DPF,D
1074,2.0 TDI (170) DPF,D
1075,2.0 TFSI (220),P
1076,2.0 TFSI (220) Quattro,P
1077,2.0 TFSI DTM Edition,P
1078,2.0 TFSI Quattro DTM Edition,P
1079,1.8 TFSI (120),P
1080,1.8 TFSI (160),P
1081,1.8 TFSI (160) Multitronic,P
1082,2.0 TFSI (180),P
1083,2.0 TFSI (180) Multitronic,P
1084,2.0 TFSI (211),P
1085,2.0 TFSI (211) Multitronic,P
1086,2.0 TFSI (211) Quattro,P
1087,2.0 TFSI (211) Quattro S-Tronic,P
1088,2.0 TDI (143) Multitronic,D
1089,2.0 TDI (143) Quattro,D
1090,2.0 TDI E,D
1091,2.0 TDI (120),D
1092,2.0 TDI (163),D
1093,2.0 TDI (163) Multitronic,D
1094,3.2 Quattro Premium Plus Tiptronic,P
1095,3.0 TDI Clean Diesel Quattro Tiptronic,D
1096,3.0 TDI Quattro S-Tronic,D
1097,1.8 TFSI (120) Multitronic,P
1098,1.8 TFSI (160) Quattro,P
1099,2.0 T Premium Multitronic,P
1100,2.0 T Quattro Premium,P
1101,2.0 T Quattro Premium Tiptronic,P
1102,2.0 TFSI Quattro Premium Tiptronic,P
1103,2.0 TSFI Multitronic,P
1104,3.0 TDI (245) Quattro,D
1105,3.0 TDI (245) Quattro S-Tronic,D
1106,2.0 TFSI Flexible Fuel,P
1107,2.0 TFSI Flexible Fuel (gas.),P
1108,2.0 TFSI Quattro Flexible Fuel,P
1109,2.0 TFSI Quattro Flexible Fuel (gas.),P
1110,2.0 TDI (177),D
1111,2.0 TDI (177) Multitronic,D
1112,2.0 TDI (177) Quattro,D
1113,2.0 TDI (177) Quattro S-Tronic,D
1114,2.0 TDI E (163) 115g,D
1115,2.0 TDI E (163) 120g,D
1116,3.0 TFSI Quattro S-Tronic,P
1117,2.0 TDI (136) Multitronic,D
1118,2.0 TDI E (136) 112g,D
1119,2.0 TDI E (136) 116g,D
1120,2.0 TDI (150) Multitronic,D
1121,3.0 TDI Clean Diesel Quattro S-Tronic,D
1122,3.0 TDI (204),D
1123,3.0 TDI (204) Multitronic,D
1124,2.0 TFSI (225),P
1125,2.0 TFSI (225) Multitronic,P
1126,2.0 TFSI (225) Quattro,P
1127,2.0 TFSI (225) Quattro S-Tronic,P
1128,2.0 TDI (190),D
1129,2.0 TDI (190) Multitronic,D
1130,2.0 TDI Ultra (163),D
1131,2.0 TDI Ultra (136),D
1132,1.8 TFSI Multitronic,P
1133,35 1.5 TSI 6MT,P
1134,35 2.0 TDI S-Tronic,D
1135,35 2.0 TFSI 6MT,P
1136,35 2.0 TFSI S-Tronic,P
1137,40 2.0 TDI S-Tronic,D
1138,40 2.0 TFSI Quattro S-Tronic,P
1139,45 2.0 TFSI Quattro S-Tronic,P
1140,45 2.0 TFSI S-Tronic,P
1141,45 3.0 TDI Quattro Tiptronic,D
1142,50 3.0 TDI Quattro Tiptronic,D
1143,3.0 TDI (218) Quattro S-Tronic,D
1144,3.0 TDI (218) S-Tronic,D
1145,2.0 TFSI (190),P
1146,2.0 TFSI Ultra (190),P
1147,2.0 TFSI Ultra (190) S-Tronic,P
1148,1.4 TFSI (150),P
1149,1.4 TFSI (150) S-Tronic,P
1150,2.0 TFSI (252) Quattro S-Tronic,P
1151,2.0 TFSI (252) S-Tronic,P
1152,2.0 TDI (190) Quattro S-Tronic,D
1153,2.0 TDI (190) S-Tronic,D
1154,2.0 TDI Ultra (190),D
1155,2.0 TDI Ultra (190) S-Tronic,D
1156,2.0 TDI Ultra (150) S-Tronic,D
1157,40 2.0 TFSI 7AT,P
1158,2.0 TFSI G-Tron S-Tronic,P
1159,2.0 TDI Quattro S-Tronic,D
1160,3.0 TDI,D
1161,3.0 TDI Multitronic,D
1162,3.2 FSI Quattro S-Tronic,P
1163,2.0 TDI E (163) 118g,D
1164,2.0 TFSI  Quattro S-Tronic,P
1165,2.0 TDI E (136) 117g,D
1166,2.5 V6 TDI,D
1167,2.5 V6 TDI Quattro,D
1168,2.5 V6 TDI Quattro Tiptronic,D
1169,2.5 V6 TDI Tiptronic,D
1170,2.7 V6 T Quattro,P
1171,2.7 V6 T Quattro Tiptronic,P
1172,2.7 V6 T Tiptronic,P
1173,1.9  8v TDI,D
1174,2.5 V6 TDI (180) Quattro,D
1175,2.5 V6 TDI (180) Quattro Tiptronic,D
1176,2.5 V6 TDI (180) Tiptronic,D
1177,2.0 20v,P
1178,2.0 20v Multitronic,P
1179,2.4 V6,P
1180,2.4 V6 Multitronic,P
1181,2.4 V6 Quattro,P
1182,2.4 V6 Quattro Tiptronic,P
1183,2.4 V6 Tiptronic,P
1184,2.8 V6,P
1185,2.8 V6 Multitronic,P
1186,2.8 V6 Quattro,P
1187,2.8 V6 Quattro Tiptronic,P
1188,2.8 V6 Tiptronic,P
1189,1.8 20v T,P
1190,1.8 20v T Multitronic,P
1191,1.8 20v T Tiptronic,P
1192,1.8 V6 T Quattro,P
1193,1.8 20v T Quattro,P
1194,4.2 V8 Quattro Tiptronic,P
1195,3.0 V6,P
1196,3.0 V6 Multitronic,P
1197,3.0 V6 Quattro,P
1198,3.0 V6 Quattro Tiptronic,P
1199,1.9  8v TDI Multitronic,D
1200,2.5 V6 TDI Multitronic,D
1201,2.7 20v T Quattro,P
1202,2.7 20v T Quattro Tiptronic,P
1203,3.0 V6 TDI Quattro DPF,D
1204,3.0 V6 TDI Quattro Tiptronic DPF,D
1205,3.2 V6 FSI,P
1206,3.2 V6 FSI Multitronic,P
1207,3.2 V6 FSI Quattro,P
1208,3.2 V6 FSI Quattro Tiptronic,P
1209,2.0 16v TDI,D
1210,3.0 V6 TDI Quattro Tiptronic Automatic,D
1211,2.0 16v TFSI,P
1212,2.0 16v TFSI Multitronic,P
1213,2.7 V6 TDI,D
1214,2.7 V6 TDI DPF,D
1215,2.7 V6 TDI Multitronic DPF,D
1216,2.7 V6 TDI Quattro Tiptronic DPF,D
1217,2.0 16v TDI DPF,D
1218,2.0 16v TDI Multitronic,D
1219,2.0 16v TDI Multitronic DPF,D
1220,2.7 V6 TDI (163) DPF,D
1221,2.7 V6 TDI (163) Multitronic DPF,D
1222,2.7 V6 TDI (163) Quattro Tiptronic DPF,D
1223,4.2 V8 FSI Quattro Tiptronic,P
1224,2.0 16v TDI (136) Multitronic,D
1225,2.0 16v TDI E,D
1226,2.0 16v TDI (170) DPF,D
1227,2.0 16v TDI (170) Multitronic,D
1228,3.0 V6 TFSI Quattro,P
1229,3.0 V6 TFSI Quattro Tiptronic,P
1230,3.2 V6 FSI 6AT,P
1231,3.2 V6 FSI 8AT,P
1232,2.7 V6 TDI (190) DPF,D
1233,2.7 V6 TDI (190) Multitronic DPF,D
1234,2.7 V6 TDI (190) Quattro Tiptronic DPF,D
1235,2.8 16v FSI (190) Multitronic,P
1236,2.8 16v FSI (220) Multitronic,P
1237,2.0 TDI Multitronic,P
1238,2.8 FSI,P
1239,2.8 FSI Multitronic,P
1240,2.8 FSI Quattro S-Tronic,P
1241,2.0 TFSI Tiptronic,P
1242,3.0 TDI (313) Quattro Tiptronic,D
1243,3.0 TFSI Multitronic,P
1244,2.0 TFSI Hybrid,P
1245,3.0 TDI (204) Quattro S-Tronic,D
1246,2.5 FSI L Multitronic,P
1247,3.0 TDI Clean Diesel (272) Quattro S-Tronic,D
1248,3.0 TDI Clean Diesel (218) Quattro S-Tronic,D
1249,2.0 TDI Ultra (150),D
1250,3.0 TDI Clean Diesel (218) S-Tronic,D
1251,3.0 TDI Clean Diesel Biturbo (320) Quattro Tiptronic,D
1252,3.0 TDI Competition Quattro Tiptronic,D
1253,1.8 TFSI (190),P
1254,1.8 TFSI (190) Multitronic,P
1255,1.8 TFSI (190) S-Tronic,P
1256,55 3.0 V6 24v TFSI Quattro Tiptronic,P
1257,3.0 TFSI (272) Quattro,P
1258,2.5 V6 TDI (163) Quattro,D
1259,3.0 V6 TDI Quattro,D
1260,3.0 V6 TDI Quattro Tiptronic,D
1261,2.7 V6 TDI Quattro Triptronic,D
1262,3.0 TDI Clean Diesel (211) Quattro S-Tronic,D
1263,3.0 TDI (245) Quattro Tiptronic,D
1264,3.0 TDI (272) Quattro S-Tronic,D
1265,3.0 TDI Ultra (218) S-Tronic,D
1266,3.0 TDI (320) Quattro Tiptronic,D
1267,3.0 TDI Clean Diesel (320) Quattro Tiptronic,D
1268,4.2 Quattro Tiptronic,P
1269,3.7 Quattro Tiptronic,P
1270,3.7 Tiptronic,P
1271,2.5 TDI (180),D
1272,2.5 TDI (180) Tiptronic,D
1273,2.5 TDI Quattro (180) Tiptronic,D
1274,3.3 TDI Quattro Tiptronic,D
1275,2.8,P
1276,6.0 Quattro Tiptronic,P
1277,4.0 TDI Quattro 6AT,D
1278,3.0 6AT,P
1279,3.7 Quattro,P
1280,4.2 Quattro,P
1281,6.0 Quattro,P
1282,4.2 TDI Quattro DPF,D
1283,3.2 FSI,P
1284,4.2 FSI Quattro,P
1285,3.0 TDI Clean Diesel Quattro,D
1286,4.2 TDI Quattro,D
1287,4.2 TDI Clean Diesel Quattro,D
1288,6.3 W12 FSI Quattro,P
1289,1.0 TFSI,P
1290,1.0 TFSI S-Tronic,P
1291,1.4 TFSI (150) CoD,P
1292,1.4 TFSI (150) CoD S-Tronic,P
1293,40 2.0 TDI Quattro S-Tronic 7AT,D
1294,45 2.0 TFSI 7AT,P
1295,45 2.0 TFSI S-Tronic 7AT,P
1296,40 2.0 TFSI S-Tronic 7AT,P
1297,2.0 TFSI Quattro (170),P
1298,2.0 TFSI Quattro (170) S-Tronic,P
1299,2.0 TDI Quattro (140),D
1300,2.0 TDI Quattro (140) S-Tronic,D
1301,2.0 TDI Quattro (177) S-Tronic,D
1302,2.0 TFSI (220) Quattro S-Tronic,P
1303,2.0 TDI Quattro (177),D
1304,2.0 TFSI Quattro (211) S-Tronic,P
1305,2.0 16v TFSI Quattro,P
1306,2.0 TFSI (180) Quattro S-Tronic,P
1307,2.0 TFSI (180) S-Tronic,P
1308,2.0 TDI (120) S-Tronic,D
1309,2.0 TDI (184) Clean Diesel Quattro,D
1310,2.0 TDI (184) Clean Diesel Quattro S-Tronic,D
1311,2.0 TDI (184) Clean Diesel S-Tronic,D
1312,2.0 TDI Ultra (150) Clean Diesel,D
1313,2.5 RS S-Tronic 7AT,P
1314,2.5 TFSI quattro 7AT,P
1315,55 2.0 TFSIe Quattro S-Tronic,P
1316,2.0 16v TFSI quattro,P
1317,2.0 16v TDI quattro,D
1318,2.0 16v TDI quattro S-Tronic,D
1319,3.0 V6 24v TFSI Quattro,P
1320,3.0 V6 24v TFSI Quattro S-Tronic,P
1321,3.2 V6 24v FSI quattro S-Tronic,P
1322,3.0 V6 24v TDI quattro S-Tronic,D
1323,3.0 V6 24v TDI quattro,D
1324,2.0 16v TFSI quattro S-Tronic,P
1325,2.0 16v TFSI Hybrid quattro,P
1326,2.0 TFSI Quattro 6MT,P
1327,2.0 16v TFSI FFV quattro,P
1328,3.0 V6 24v TFSI quattro S-Tronic,P
1329,4.2 FSI Quattro Tiptronic,P
1330,3.6 FSI Quattro,P
1331,3.6 FSI Quattro Tiptronic,P
1332,4.2 TDI Quattro Tiptronic,D
1333,6.0 V12 TDI Quattro,D
1334,3.0 TDI (204) Quattro,D
1335,3.0 TDI Ultra (218) Quattro,D
1336,5.2 FSI Quattro,P
1337,5.2 FSI Quattro R-Tronic,P
1338,5.2 FSI Quattro Spyder R-Tronic,P
1339,5.2 FSI Spyder Quattro,P
1340,4.2 FSI Quattro R-Tronic,P
1341,5.2 FSI GT Quattro,P
1342,5.2 FSI GT Quattro Spyder,P
1343,4.2 FSI Quattro S-Tronic,P
1344,4.2 FSI Quattro Spyder,P
1345,4.2 FSI Quattro Spyder R-Tronic,P
1346,4.2 FSI Quattro Spyder S-Tronic,P
1347,5.2 FSI Quattro Plus,P
1348,5.2 FSI Quattro Plus S-Tronic,P
1349,5.2 FSI Quattro S-Tronic,P
1350,5.2 FSI Quattro Spyder S-Tronic,P
1351,2.5 TFSI quattro S-Tronic 7AT,P
1352,2.9 V6 24v TFSI Quattro Tiptronic,P
1353,2.7 V6 BiTurbo 6MT,P
1354,4.2 V8 FSI quattro 6MT,P
1355,4.2 V8 FSI quattro 7AT,P
1356,4.2 V8 FSI Quattro S-Tronic,P
1357,4.2 V8 BiTurbo 5AT,P
1358,4.2 V8 BiTurbo Plus 5AT,P
1359,5.0 V10 TFSI quattro 6AT,P
1360,4.0 V8 TFSI quattro 8AT,P
1361,2.0 TFSI Quattro,D
1362,2.0 TFSI Quattro DSG,P
1363,2.0 R4 TFSI Quattro,P
1364,2.7 V6 BiTurbo 4AT,P
1365,4.2 V8 6AT,P
1366,4.2 V8 6MT,P
1367,3.0 V6 TFSI Quattro 6MT,P
1368,3.0 V6 TFSI Quattro 7AT,P
1369,3.0 V6 TFSI Quattro S-Tronic,P
1370,3.0 V6 24v TFSI Quattro Tiptronic,P
1371,3.0 V6 24v TFSI quattro,P
1372,4.2 V8 32v FSI quattro,P
1373,4.2 V8,P
1374,4.2 V8 Automatic,P
1375,4.2 V8 Tiptronic,P
1376,5.2 V10 FSI,P
1377,4.0 V8 TFSI Quattro,P
1378,4.0 V8 TFSI Quattro S-Tronic,P
1379,4.0 V8 32v TFSI Quattro,P
1380,4.0 V8 32v TFSI Quattro S-Tronic,P
1381,4.2 V8 40v Quattro,P
1382,4.0 V8 32v TFSI,P
1383,2.0 TFSI 7AT,P
1384,3.0 V6 24v TDI Quattro,D
1385,4.0 V8 TDI Quattro Tiptronic,D
1386,2.0 TFSI 6AT,P
1387,2.0 TFSI 6MT,P
1388,3.2 Quattro 6AT,P
1389,3.2 Quattro 6MT,P
1390,2.0 TDI Quattro 6MT,D
1391,2.0 TFSI Quattro 6AT,P
1392,1.8 TFSI 7AT,P
1393,2.0 TDI Quattro 6AT,D
1394,1.8 T 5MT,P
1395,1.8 T Quattro 6MT,P
1396,1.8 T Quattro 5MT,P
1397,1.8 T 6AT,P
1398,45 2.0 TFSI 6MT,P
1399,2.0 TDI Ultra Quattro S-Tronic,D
1400,2.0 TDI Ultra S-Tronic,D
1401,2.5 TFSI quattro 6MT,P
1402,2.0 7AT,P
1403,1.5 VTi-TECH,P
1404,1.2 16v,P
1405,1.5 T 16v,P
1406,2.0 T 16v,P
1407,6.8 V8 Final Series,P
1408,6.8 V8 R,P
1409,6.8 V8 RL,P
1410,6.8 V8 T,P
1411,6.8 V8 T-24,P
1412,6.8 V8,P
1413,3.0 V6 24v Turbo Hybrid 8AT,P
1414,4.0 V8 8AT,D
1415,4.0 V8 Turbo 8AT,P
1416,4.0 V8 GT,P
1417,4.0 V8 GT S,P
1418,4.0 V8 GT3-R,P
1419,4.0 V8 GTC,P
1420,4.0 V8 GTC S,P
1421,6.0 W12 GT,P
1422,6.0 W12 GT Mulliner,P
1423,6.0 W12 GT Series 51,P
1424,6.0 W12 GT Speed,P
1425,6.0 W12 GT Speed Series 51,P
1426,6.0 W12 GTC,P
1427,6.0 W12 GTC 80-11 Edition,P
1428,6.0 W12 GTC Series 51,P
1429,6.0 W12 GTC Speed,P
1430,6.0 W12 GTC Speed Series 51,P
1431,6.0 W12 Supersports,P
1432,4.0 V8,P
1433,6.0 W12,P
1434,6.0 W12 Mulliner,P
1435,6.0 W12 Speed,P
1436,6.0 W12 Speed TwinTurbo 8AT,P
1437,6.0 W12 TwinTurbo 6AT,P
1438,6.0 W12 Biturbo,P
1439,6.8 V8 Speed,P
1440,116d 6MT,D
1441,116d 8AT,D
1442,116i 8AT,P
1443,116i 6MT,P
1444,118i 6MT,P
1445,118i 8AT,P
1446,120d 8AT,D
1447,120d xDrive 8AT,D
1448,118d 6MT,D
1449,118d 8AT,D
1450,118d xDrive 8AT,D
1451,125d 8AT,D
1452,125i 6MT,P
1453,125i 8AT,P
1454,120i 8AT,P
1455,120i 6MT,P
1456,M140i 8AT,P
1457,M140i xDrive 8AT,P
1458,120d 6AT,D
1459,120d 6MT,D
1460,114i 6MT,P
1461,116i 6AT,P
1462,118i 6AT,P
1463,120i 6AT,P
1464,116i 5MT,P
1465,118i 5MT,P
1466,114d 6MT,D
1467,120d xDrive 6MT,D
1468,123d 6AT,D
1469,123d 6MT,D
1470,125d 6MT,D
1471,118d 6AT,D
1472,128i 6AT,P
1473,128i 6MT,P
1474,125i 6AT,P
1475,130i 6AT,P
1476,130i 6MT,P
1477,135i 6AT,P
1478,135i 6MT,P
1479,135i 7AT,P
1480,214d 6MT,D
1481,216d 6AT,D
1482,216d 6MT,D
1483,216d 7AT,D
1484,225xe 6AT,P
1485,216i 6MT,P
1486,218i 6AT,P
1487,218i 6MT,P
1488,218i 7AT,P
1489,218i 8AT,P
1490,230i 8AT,P
1491,230i xDrive 8AT,P
1492,220d 6MT,D
1493,220d 8AT,D
1494,220d xDrive 8AT,D
1495,220d xDriver 8AT,D
1496,218d 6MT,D
1497,218d 8AT,D
1498,218d xDrive 6MT,D
1499,218d xDrive 8AT,D
1500,218d xDriver 6MT,D
1501,218d xDriver 8AT,D
1502,225d 8AT,D
1503,220i 6MT,P
1504,220i 8AT,P
1505,225i 8AT,P
1506,225i xDrive 8AT,P
1507,M240i 8AT,P
1508,M240i xDrive 8AT,P
1509,228i 6MT,P
1510,228i 8AT,P
1511,228i xDrive 8AT,P
1512,M235i 6MT,P
1513,M235i 8AT,P
1514,M235i xDrive 8AT,P
1515,318i 6MT,P
1516,318i 8AT,P
1517,318Li 8AT,P
1518,330i 8AT,P
1519,330i xDrive 8AT,P
1520,320d 6MT,D
1521,320d 8AT,D
1522,320d xDrive 8AT,D
1523,316d 6MT,D
1524,316d 8AT,D
1525,318d 6MT,D
1526,318d 8AT,D
1527,318d xDrive 6MT,D
1528,318d xDrive 8AT,D
1529,320d EfficientDynamics Edition 8AT,D
1530,320d xDrive 6MT,D
1531,325d 6MT,D
1532,325d 8AT,D
1533,320i 8AT,P
1534,320i xDrive 8AT,P
1535,320Li 8AT,P
1536,320Li xDrive 8AT,P
1537,330Li 8AT,P
1538,330Li xDrive 8AT,P
1539,330e Hybrid 8AT,P
1540,330d 8AT,D
1541,M340i 8AT,P
1542,M340i xDrive 8AT,P
1543,340i 8AT,P
1544,340i xDrive 8AT,P
1545,316i 4AT,P
1546,316i 5MT,P
1547,318i 4AT,P
1548,318i 5MT,P
1549,320d 5MT,D
1550,320d 5AT,D
1551,320d 6AT,D
1552,318d 5MT,D
1553,318d 5AT,D
1554,328i 5AT,P
1555,328i 5MT,P
1556,320i 5AT,P
1557,320i 5MT,P
1558,323i 5AT,P
1559,323i 5MT,P
1560,325i 5AT,P
1561,325i 5MT,P
1562,325xi 5AT,P
1563,325xi 5MT,P
1564,330i 5AT,P
1565,330i 5MT,P
1566,330i 6MT,P
1567,330xi 5AT,P
1568,330xi 5MT,P
1569,330xi 6MT,P
1570,330d 5AT,D
1571,330d 5MT,D
1572,330xd 5AT,D
1573,330xd 5MT,D
1574,330d 6MT,D
1575,330xd 6MT,D
1576,330d 6AT,D
1577,330xd 6AT,D
1578,335d 6AT,D
1579,325d 6AT,D
1580,320i 6MT,P
1581,316i 6MT,P
1582,316i 8AT,P
1583,316Li 8AT,P
1584,328i 6MT,P
1585,328i 8AT,P
1586,328i xDrive 6MT,P
1587,328i xDrive 8AT,P
1588,328Li 8AT,P
1589,320i 6AT,P
1590,320i xDrive,P
1591,320i xDrive 6MT,P
1592,316i 5AT,P
1593,318i 5AT,P
1594,318i 6AT,P
1595,320si 6MT,P
1596,320d xDrive 6AT,D
1597,328d 8AT,D
1598,328d xDrive 8AT,D
1599,318d 6AT,D
1600,325i 6MT,P
1601,325xi 6MT,P
1602,325i 6AT,P
1603,325xi 6AT,P
1604,328i 6AT,P
1605,328i xDrive 6AT,P
1606,328xi 6AT,P
1607,328xi 6MT,P
1608,330i 6AT,P
1609,330xi 6AT,P
1610,330i xDrive 6AT,P
1611,330i xDrive 6MT,P
1612,325i xDrive 6AT,P
1613,325i xDrive 6MT,P
1614,335i 6AT,P
1615,335i 6MT,P
1616,335i xDrive 6AT,P
1617,335i xDrive 6MT,P
1618,335i 7AT,P
1619,335is 6MT,P
1620,335is 7AT,P
1621,335i 8AT,P
1622,335i xDrive 8AT,P
1623,335Li 8AT,P
1624,330d xDrive 6AT,D
1625,330d xDrive 6MT,D
1626,330d xDrive 8AT,D
1627,335d xDrive 8AT,D
1628,418i 8AT,P
1629,418d 6MT,D
1630,418d 8AT,D
1631,420d 6MT,D
1632,420d 8AT,D
1633,420d xDrive 6MT,D
1634,420d xDrive 8AT,D
1635,425d 6MT,D
1636,425d 8AT,D
1637,420i 6MT,P
1638,420i 8AT,P
1639,420i xDrive 8AT,P
1640,430i 8AT,P
1641,430i xDrive 8AT,P
1642,440i 8AT,P
1643,440i xDrive 8AT,P
1644,428i 6MT,P
1645,428i 8AT,P
1646,428i xDrive 8AT,P
1647,420i xDrive 6MT,P
1648,435i 6MT,P
1649,435i 8AT,P
1650,435i xDrive 6MT,P
1651,435i xDrive 8AT,P
1652,430d 8AT,D
1653,430d xDrive 8AT,D
1654,435d xDrive 8AT,D
1655,428i xDrive 6MT,P
1656,530i 8AT,P
1657,530i xDrive 8AT,P
1658,530e iPerformance 8AT,P
1659,518d 6MT,D
1660,518d 8AT,D
1661,520d 6MT,D
1662,520d 8AT,D
1663,520d Efficient Dynamic Edition 8AT,D
1664,520d xDrive 8AT,D
1665,525d 6MT,D
1666,525d 8AT,D
1667,520i,P
1668,520i 8AT,P
1669,520Li 8AT,P
1670,530Li 8AT,P
1671,530Le iPerformance 8AT,P
1672,530d 8AT,D
1673,530d M 8AT,D
1674,530d xDrive 8AT,D
1675,530d xDrive M 8AT,D
1676,M550d xDrive 8AT,D
1677,540d xDrive 8AT,D
1678,540i 8AT,P
1679,540i xDrive 8AT,P
1680,540Li 8AT,P
1681,520d 5MT,D
1682,520d 6AT,D
1683,520i 5AT,P
1684,520i 5MT,P
1685,523i 5AT,P
1686,523i 5MT,P
1687,520i 6AT,P
1688,520i 6MT,P
1689,525i 5AT,P
1690,525i 5MT,P
1691,525i 6AT,P
1692,525i 6MT,P
1693,530i 5AT,P
1694,530i 5MT,P
1695,530i 6AT,P
1696,530i 6MT,P
1697,525d 5AT,D
1698,525d 5MT,D
1699,525d 6AT,D
1700,530d 5AT,D
1701,530d 5MT,D
1702,530d 6AT,D
1703,530d 6MT,D
1704,530xd 6AT,D
1705,530xd 6MT,D
1706,535d 6AT,D
1707,525xd 6AT,D
1708,525xd 6MT,D
1709,535i 5AT,P
1710,540i 5AT,P
1711,540i 6MT,P
1712,528i 6MT,P
1713,528i 8AT,P
1714,528i xDrive 8AT,P
1715,525d xDrive 8AT,D
1716,525xi 6AT,P
1717,525xi 6MT,P
1718,523i 6AT,P
1719,523i 6MT,P
1720,528i 6AT,P
1721,528i xDrive 6AT,P
1722,528i xDrive 6MT,P
1723,530xi 6AT,P
1724,530xi 6MT,P
1725,523i 8AT,P
1726,535i 6AT,P
1727,535i 6MT,P
1728,535i xDrive 6AT,P
1729,535i xDrive 6MT,P
1730,535i 8AT,P
1731,535i xDrive 8AT,P
1732,535d 8AT,D
1733,535d xDrive 8AT,D
1734,540i 6AT,P
1735,545i 6AT,P
1736,545i 6MT,P
1737,550i 6AT,P
1738,550i 6MT,P
1739,550i 8AT,P
1740,550i xDrive 8AT,P
1741,M550i xDrive 8AT,P
1742,635d 6AT,D
1743,630i 6AT,P
1744,630i 6MT,P
1745,640i 8AT,P
1746,640i xDrive 8AT,P
1747,640d 8AT,D
1748,640d xDrive 8AT,D
1749,645Ci 6AT,P
1750,645Ci 6MT,P
1751,650Ci 6AT,P
1752,650Ci 6MT,P
1753,650Ci MT,P
1754,650i 6AT,P
1755,650i 6MT,P
1756,650i 8AT,P
1757,650i xDrive 8AT,P
1758,630d 8AT,D
1759,630d xDrive 8AT,D
1760,630i 8AT,P
1761,725d 8AT,D
1762,725Ld 8AT,D
1763,730i 8AT,P
1764,730Li 8AT,P
1765,740e iPerformance 8AT,P
1766,740Le iPerformance 8AT,P
1767,730d 8AT,D
1768,730d xDrive 8AT,D
1769,730Ld 8AT,D
1770,730Ld xDrive 8AT,D
1771,750d xDrive 8AT,D
1772,750Ld xDrive 8AT,D
1773,740d xDrive 8AT,D
1774,740Ld xDrive 8AT,D
1775,740i 8AT,P
1776,740i xDrive 8AT,P
1777,740Li 8AT,P
1778,740Li xDrive 8AT,P
1779,728i 5AT,P
1780,728i 5MT,P
1781,728iL 5AT,P
1782,730i 6AT,P
1783,730Li 6AT,P
1784,730d 5AT,D
1785,730d 6AT,D
1786,730Ld 6AT,D
1787,740i 5AT,P
1788,740iL 5AT,P
1789,740d 5AT,D
1790,740d 6AT,D
1791,745d 6AT,D
1792,750i 5AT,P
1793,750iL 5AT,P
1794,740i 6AT,P
1795,740Li 6AT,P
1796,740d 8AT,D
1797,735i 6AT,P
1798,735Li 6AT,P
1799,745i 6AT,P
1800,745Li 6AT,P
1801,750i 6AT,P
1802,750i Long 6AT,P
1803,750Li 6AT,P
1804,750i xDrive 8AT,P
1805,750Li xDrive 8AT,P
1806,750i xDrive 6AT,P
