id,number,carmanufacturers,model_id
8380,0261S15161,"",134
8381,0261208651,AUDI,20
8382,0261S15630,"",148
8383,0261S08323,BMW,52
8384,0261S08959,Porsche,6
8385,0261S09287,"",74
8386,0261S18037,"",120
8387,0261S18211,"",92
8388,0261S02134,VW,1
8389,0261S02720,"",177
8390,0261208528,VW,25
8391,0261S18255,"",54
8392,0261S18943,BMW,33
8393,0261S17009,BMW,33
8394,0261S18256,"",54
8395,0261S18180,"",72
8396,0261201409,SEAT,27
8397,0261S17977,"",120
8398,0261201615,Mercedes,47
8399,0261S04108,VW,29
8400,0261S17834,Renault,74
8401,0261S18101,"",92
8402,0261S15178,"",167
8403,0261S08854,BMW,37
8404,0261S14251,"",115
8405,0261S15350,"",115
8406,0261S09034,BMW,37
8407,0261S04629,VW,20
8408,0261S09068,BMW,37
8409,0261S16549,"",113
8410,0261S08499,"",5
8411,0261S02177,VW,1
8412,0261201395,VW,29
8413,0261S12999,VW,12
8414,0261S14025,"",115
8415,0261S02880,AUDI,110
8416,0261S03308,Audi,110
8417,0261S18203,"",72
8418,0261S17323,"",131
8419,0261S09319,BMW,67
8420,0261208833,"",82
8421,0261S08608,"",157
8422,0261208192,Peugeot Citro&euml;n,100
8423,0261208414,GMC,65
8424,0261S14132,"",115
8425,0261S09605,PSA,88
8426,0261S14158,"",115
8427,0261208967,VW,25
8428,0261S02895,VW,2
8429,0261S02807,VW,2
8430,0261209361,Opel,126
8431,0261S08077,"OPEL, SUZUKI, VAUXHALL",57
8432,0261S02025,VW,143
8433,0261201337,VW,20
8434,0261S16687,"BMW, MINI (BMW)",33
8435,0261S04656,SEAT,25
8436,0261201368,"BENTLEY, VW",20
8437,0261S04635,VW,29
8438,0261S08905,GM,136
8439,0261S08017,VW,39
8440,0261S02850,KTM,2
8441,0261S02456,AUDI,104
8442,0261S08873,Mercedes-Benz,50
8443,0261S08853,BMW,37
8444,0261S09717,VW,7
8445,0261S04104,FAW-Volkswagen,29
8446,0261S08015,VW,39
8447,0261208744,"",82
8448,0261S04300,VW,20
8449,0261S21109,"",72
8450,0261S09182,BMW / Mini,34
8451,0261S08045,BMW,52
8452,0261201694,VW,28
8453,0261S09651,VW,6
8454,0261208655,VW,25
8455,0261S18523,BMW,33
8456,0261208381,VW,27
8457,0261S08171,VW,7
8458,0261201349,PORSCHE,190
8459,0261209227,Ford,139
8460,0261S04221,AUDI,20
8461,0261S04168,BENTLEY,20
8462,0261S14259,"",115
8463,0261S16595,"",120
8464,0261208914,MITSUBISHI,101
8465,0261206022,SEAT,27
8466,0261207663,VW,25
8467,0261S18551,"",135
8468,0261S18529,BMW,33
8469,0261201290,VW,20
8470,0261S14851,"",120
8471,0261201292,AUDI,20
