id,year,model_id
457,2019,141
458,2006,141
459,2011,141
460,2009,141
461,2011,142
462,2015,142
463,2013,142
464,2021,142
465,2016,142
466,2022,142
467,2014,142
468,2017,142
469,2012,142
470,2010,142
471,2018,142
472,2009,142
473,2010,143
474,2013,143
475,2013,144
476,2011,144
477,2012,144
478,2009,145
479,2011,145
480,2012,146
481,2021,146
482,2010,147
483,2009,148
484,2011,148
485,2010,149
486,2013,149
487,2021,150
488,2007,151
489,2009,151
490,2012,151
491,2006,151
492,2010,151
493,2010,152
494,2010,153
495,2014,153
496,2012,154
497,2010,155
498,2012,155
499,2010,156
500,2010,157
501,2010,158
502,2010,159
503,2015,160
504,2004,161
505,2004,162
506,2016,163
507,2014,164
508,2014,165
509,2011,165
510,2016,165
511,2016,166
512,2010,166
513,2013,166
514,2014,166
515,2012,167
516,2009,167
517,2014,167
518,2016,167
519,2014,168
520,2015,168
521,2016,168
522,2011,168
523,2014,169
524,2015,169
525,2009,169
526,2009,170
527,2017,171
528,2017,172
529,2021,173
530,2007,174
531,2007,175
532,2008,176
533,2009,177
534,2006,178
535,2017,179
536,2014,179
537,2004,179
538,2015,180
539,2003,181
540,2006,181
541,2017,181
542,2002,181
543,2008,181
544,2011,181
545,2004,181
546,2005,181
547,2016,182
548,2017,182
549,2003,182
550,2014,183
551,2011,183
552,2012,183
553,2013,183
554,2010,183
555,2012,184
556,2011,184
557,2013,184
558,2014,184
559,2006,184
560,2007,184
561,2008,184
562,2009,184
563,2010,184
564,2004,185
565,2005,185
566,2006,185
567,2011,186
568,2012,186
569,2013,186
570,2005,187
571,2006,187
572,2007,187
573,2014,187
574,2015,187
575,2016,187
576,2017,187
577,2021,187
578,2018,188
579,2015,189
580,2018,190
581,2016,190
582,2019,190
583,2017,190
584,2016,191
585,2012,192
586,2017,192
587,2004,192
588,2007,192
589,2008,192
590,2020,192
591,2020,193
592,2016,194
593,2021,194
594,2017,194
595,2018,194
596,2019,194
597,2016,195
598,2018,195
599,2012,196
600,2014,196
601,2015,196
602,2017,196
603,2015,197
604,2002,198
605,2005,198
606,2006,198
607,2007,198
608,2008,198
609,2009,198
610,2010,198
611,2015,198
612,2016,198
613,2017,198
614,2019,198
615,2018,198
616,2003,198
617,2004,198
618,2012,199
619,2015,199
620,2009,200
621,2004,201
622,2004,202
623,2008,203
624,2010,204
625,2014,205
626,2004,206
627,2004,207
628,2009,207
629,2003,208
630,2012,209
631,2004,210
632,2009,210
633,2009,211
